location,location_code,geographic_level,time_period,Phase-type_grouping,Denomination,Academy_flag,Sex_of_school_description,Admissions_Policy,Urban_rural,TypeOfEstablishment_(name),number_of_schools
Barking and Dagenham,E09000002,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,64
Barnet,E09000003,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,168
Barnsley,E08000016,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,93
Bath and North East Somerset,E06000022,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,91
Bedford,E06000055,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,86
Bexley,E09000004,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,87
Birmingham,E08000025,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,496
Blackburn with Darwen,E06000008,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,86
Blackpool,E06000009,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,45
Bolton,E08000001,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,142
"Bournemouth, Christchurch and Poole",E06000058,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,111
Bracknell Forest,E06000036,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,46
Bradford,E08000032,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,235
Brent,E09000005,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,106
Brighton and Hove,E06000043,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,85
"Bristol, City of",E06000023,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,171
Bromley,E09000006,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,119
Buckinghamshire,E10000002,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,267
Bury,E08000002,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,91
Calderdale,E08000033,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,113
Cambridgeshire,E10000003,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,299
Camden,E09000007,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,93
Central Bedfordshire,E06000056,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,136
Cheshire East,E06000049,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,174
Cheshire West and Chester,E06000050,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,177
City of London,E09000001,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,6
Cornwall,E06000052,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,290
Coventry,E08000026,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,125
Croydon,E09000008,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,150
Cumbria,E10000006,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,345
Darlington,E06000005,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,46
Derby,E06000015,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,111
Derbyshire,E10000007,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,446
Devon,E10000008,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,412
Doncaster,E08000017,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,135
Dorset,E06000059,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,182
Dudley,E08000027,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,112
Durham,E06000047,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,276
Ealing,E09000009,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,118
East Riding of Yorkshire,E06000011,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,155
East Sussex,E10000011,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,216
Enfield,E09000010,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,110
Essex,E10000012,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,598
Gateshead,E08000020,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,93
Gloucestershire,E10000013,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,330
Greenwich,E09000011,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,105
Hackney,E09000012,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,113
Halton,E06000006,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,68
Hammersmith and Fulham,E09000013,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,81
Hampshire,E10000014,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,590
Haringey,E09000014,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,100
Harrow,E09000015,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,74
Hartlepool,E06000001,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,39
Havering,E09000016,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,89
Herefordshire,E06000019,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,110
Hertfordshire,E10000015,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,585
Hillingdon,E09000017,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,111
Hounslow,E09000018,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,88
Isle of Wight,E06000046,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,51
Isles Of Scilly,E06000053,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,1
Islington,E09000019,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,77
Kensington and Chelsea,E09000020,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,77
Kent,E10000016,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,682
"Kingston upon Hull, City of",E06000010,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,100
Kingston upon Thames,E09000021,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,64
Kirklees,E08000034,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,195
Knowsley,E08000011,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,63
Lambeth,E09000022,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,100
Lancashire,E10000017,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,686
Leeds,E08000035,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,293
Leicester,E06000016,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,127
Leicestershire,E10000018,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,315
Lewisham,E09000023,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,97
Lincolnshire,E10000019,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,388
Liverpool,E08000012,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,186
Luton,E06000032,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,80
Manchester,E08000003,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,206
Medway,E06000035,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,110
Merton,E09000024,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,74
Middlesbrough,E06000002,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,58
Milton Keynes,E06000042,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,119
Newcastle upon Tyne,E08000021,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,108
Newham,E09000025,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,111
Norfolk,E10000020,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,453
North East Lincolnshire,E06000012,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,68
North Lincolnshire,E06000013,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,87
North Somerset,E06000024,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,82
North Tyneside,E08000022,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,82
North Yorkshire,E10000023,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,390
Northamptonshire,E10000021,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,349
Northumberland,E06000048,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,170
Nottingham,E06000018,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,117
Nottinghamshire,E10000024,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,358
Oldham,E08000004,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,116
Oxfordshire,E10000025,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,358
Peterborough,E06000031,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,83
Plymouth,E06000026,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,102
Portsmouth,E06000044,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,66
Reading,E06000038,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,71
Redbridge,E09000026,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,94
Redcar and Cleveland,E06000003,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,61
Richmond upon Thames,E09000027,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,82
Rochdale,E08000005,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,96
Rotherham,E08000018,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,125
Rutland,E06000017,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,28
Salford,E08000006,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,125
Sandwell,E08000028,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,128
Sefton,E08000014,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,109
Sheffield,E08000019,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,188
Shropshire,E06000051,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,178
Slough,E06000039,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,57
Solihull,E08000029,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,89
Somerset,E10000027,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,303
South Gloucestershire,E06000025,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,120
South Tyneside,E08000023,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,62
Southampton,E06000045,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,84
Southend-on-Sea,E06000033,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,58
Southwark,E09000028,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,123
St. Helens,E08000013,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,72
Staffordshire,E10000028,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,434
Stockport,E08000007,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,130
Stockton-on-Tees,E06000004,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,85
Stoke-on-Trent,E06000021,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,106
Suffolk,E10000029,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,358
Sunderland,E08000024,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,121
Surrey,E10000030,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,509
Sutton,E09000029,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,70
Swindon,E06000030,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,87
Tameside,E08000008,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,106
Telford and Wrekin,E06000020,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,81
Thurrock,E06000034,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,55
Torbay,E06000027,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,44
Tower Hamlets,E09000030,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,116
Trafford,E08000009,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,103
Wakefield,E08000036,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,158
Walsall,E08000030,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,129
Waltham Forest,E09000031,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,85
Wandsworth,E09000032,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,118
Warrington,E06000007,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,90
Warwickshire,E10000031,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,273
West Berkshire,E06000037,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,96
West Sussex,E10000032,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,330
Westminster,E09000033,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,92
Wigan,E08000010,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,136
Wiltshire,E06000054,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,261
Windsor and Maidenhead,E06000040,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,85
Wirral,E08000015,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,131
Wokingham,E06000041,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,81
Wolverhampton,E08000031,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,115
Worcestershire,E10000034,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,268
York,E06000014,localAuthority,202021,Total,Total,Total,Total,Total,Total,Total,68
